Item,Category,Pt_Cnt,Percent,Z_Min,Z_Max,Intensity_Min,Intensity_Max,Synthetic_Pt_Cnt,Range_Min,Range_Max

First,Returns,20395980,67.09,581.59,927.59,,,,,
Second,Returns,4472801,14.71,581.04,918.14,,,,,
Third,Returns,788978,2.60,582.05,898.23,,,,,
Fourth,Returns,17406,0.06,583.66,882.91,,,,,
Fifth,Returns,12,0.00,585.37,757.38,,,,,
Last,Returns,20356247,66.96,581.04,927.59,,,,,
Single,Returns,15921134,52.37,581.59,927.59,,,,,
First_of_Many,Returns,4474846,14.72,588.02,927.39,,,,,
Last_of_Many,Returns,4435113,14.59,581.04,918.14,,,,,
All,Returns,25675177,84.45,581.04,927.59,,,,,
1_Unclassified,ClassCodes,10163771,33.43,581.69,869.62,103,65535,0,,
2_Ground,ClassCodes,2096156,6.89,581.04,868.93,517,65535,0,,
3_Low_Vegetation,ClassCodes,984447,3.24,583.30,873.32,103,65535,0,,
4_Medium_Vegetation,ClassCodes,2637577,8.68,588.32,887.56,103,65535,0,,
5_High_Vegetation,ClassCodes,8951553,29.44,601.11,927.59,103,65535,0,,
6_Building,ClassCodes,841673,2.77,588.02,883.82,103,65535,0,,
Return_No,Attributes,,,,,,,,1,5
Intensity,Attributes,,,,,,,,103,65535
Class_Code,Attributes,,,,,,,,1,6
Scan_Angle,Attributes,,,,,,,,-14,14
User_Data,Attributes,,,,,,,,0,1
Point_Source,Attributes,,,,,,,,10840,10942
Model_Key,ClassFlags,0,0.00,,,,,,,
Synthetic,ClassFlags,0,0.00,,,,,,,
WithHeld,ClassFlags,4727515,15.55,,,,,,,
Overlap,ClassFlags,0,0.00,,,,,,,
